# time (mid interval);	delta t;	Delta u_{xx};	Delta u_{xy};	Delta u_{yx};	Delta u_{yy}
22.7299	0.0825007	0.00169813	-7.71327e-06	-0.00127186	-0.000727584
22.8135	0.0847229	0.00162312	3.46903e-05	5.49767e-05	-0.000886236
22.8962	0.0805562	0.0019483	0.00017491	-0.000772461	-0.000971637
22.9767	0.0805562	0.00180916	0.000131005	-0.000504762	-0.000694856
23.0571	0.0802784	0.00237064	0.000229034	-0.000701585	-0.000434346
23.1376	0.0805562	0.00201524	0.00021665	-0.00109123	-0.000945018
23.2178	0.0800006	0.00220024	0.000219006	-0.00121865	-0.00103998
23.2984	0.0811118	0.00225316	-0.000424629	-0.00128233	-0.000204168
23.3791	0.0802784	0.00180998	0.000414976	-0.0011752	-0.00129848
23.4594	0.0802784	0.00189809	-0.000558198	-0.000427865	-0.000390361
23.5394	0.0797229	0.00208461	0.000476398	0.0002851	-0.00162915
23.6194	0.0802784	0.00115676	0.000262493	-8.07204e-05	-0.000783716
23.6996	0.0802784	0.00199966	0.000418232	-0.00120333	-0.000436105
23.7798	0.0800006	0.000726951	1.97957e-05	4.1949e-05	-0.000890976
23.8598	0.0800006	0.00208107	-0.000231142	-0.000151231	-6.8692e-05
23.9396	0.0797229	0.00183852	0.000451503	-0.00100016	-0.00139312
24.0194	0.0797229	0.00135921	-8.14747e-05	0.00084706	0.000214043
24.0991	0.0797229	0.00163823	-4.30299e-05	-0.000335912	-0.000781682
24.1791	0.0802784	0.00123417	1.91949e-05	-0.000986203	-0.000614749
24.2591	0.0797229	0.00193944	-0.000226056	-0.000752487	0.00034765
24.3391	0.0802784	0.00170823	0.000849166	-0.000519036	-0.000961348
24.4192	0.0800006	0.00182843	3.8427e-05	-0.000795698	0.0002836
24.4992	0.0800006	0.0014907	0.000130139	-0.000888999	-0.000990147
24.5792	0.0800006	0.00208357	0.000249438	-0.000309075	-0.000540811
24.6597	0.080834	0.00116238	-3.96708e-05	0.000115003	0.000514779
24.7406	0.0811118	0.00116321	0.00029935	-0.000582854	-0.000913911
24.8217	0.0811118	0.00123245	0.000308505	-0.000251796	-0.000503205
24.9028	0.0811118	0.00196041	0.000612855	0.00046934	-0.00094654
24.9838	0.080834	0.00120667	0.000385369	-0.000206552	-0.000204701
25.0645	0.0805562	0.00209459	0.00022998	-0.00181028	-0.000515803
25.1452	0.080834	0.00147526	-3.76346e-05	-0.000231153	-0.00114649
25.2265	0.0816673	0.00134154	1.50026e-05	-0.000154254	-0.000318476
25.3091	0.0836118	0.00271727	-7.95926e-05	-0.000392949	-0.000401712
25.3945	0.0872229	0.00130552	3.71644e-05	0.000481949	-0.000289623
25.4791	0.0819451	0.00197423	0.000480708	-0.00108245	-0.00149142
25.5617	0.083334	0.00158892	0.000178697	-0.00081293	-0.000265906
25.6448	0.0827784	0.00178975	0.000247681	-3.43899e-05	-0.00085008
25.7272	0.0819451	0.00203308	9.07295e-05	-0.00033361	-0.000505667
25.8094	0.0825007	0.00147086	-0.000356561	0.000275715	0.000207578
25.8919	0.0825007	0.00161546	0.000270877	-0.00114682	-0.000444783
25.9749	0.0836118	0.00145687	4.08611e-05	-0.000288091	-0.000757629
26.0583	0.0830562	0.00147239	0.000305987	-0.000176504	-0.000539192
26.1411	0.0825007	0.0013456	-0.000124051	-0.000277439	-0.000599244
26.2237	0.0827784	0.000919915	-0.000141323	0.000757746	-0.00141748
26.3083	0.0863896	0.00113743	-0.00011822	-1.26827e-05	2.34817e-05
26.3938	0.0847229	0.00142751	0.000138904	-0.000259236	-0.000316541
26.4783	0.0841673	0.00143696	0.000452459	-0.000677987	-0.000644729
26.5659	0.0911118	0.00155945	5.39485e-05	-0.000272425	-0.000288717
26.6581	0.0933341	0.00114715	-0.000439122	-0.000664879	-0.000502287
26.7491	0.0886118	0.00182524	0.000569898	-0.000670862	-0.000596543
26.8451	0.103334	0.00137239	0.000107666	-0.000939969	-0.00111354
26.9424	0.0913896	0.000952923	1.47587e-05	-0.000461366	-0.00069475
27.0358	0.0952785	0.00167711	0.000106213	-0.000894636	-0.00102653
27.1286	0.0902785	0.000709455	2.39527e-05	0.000363186	-0.000548928
27.22	0.0925007	0.00139347	0.00026052	0.000152324	-1.57605e-05
27.3122	0.0919452	0.00117554	2.97067e-05	-0.000508228	-0.00137833
27.4043	0.092223	0.000460187	-0.000209107	-0.000164091	-0.000359662
27.4966	0.0925007	0.00129872	0.00053739	-0.000384085	-0.000881144
27.5884	0.0911118	0.00106881	0.000213542	-0.00032195	-0.0004854
27.7252	0.182501	0.00259421	-7.58846e-05	-0.000189408	-0.00225094
27.8659	0.0988897	0.0007104	-5.01403e-05	-0.000664696	-0.000479978
27.9645	0.0983341	0.000694253	0.00023302	0.00076495	-0.000839247
28.0637	0.100001	0.000710882	5.57657e-05	7.57078e-05	-0.000973007
28.1626	0.0977786	0.00103024	0.000215177	-9.33766e-05	-9.11933e-05
28.2615	0.100001	0.000258439	-0.000368565	-0.000137698	-0.000233645
28.3601	0.097223	0.00120953	1.63639e-05	-0.000262348	-0.000502393
28.4591	0.100834	0.000335376	9.97749e-05	-0.000453896	-0.00101545
28.558	0.0969452	0.00108472	-8.7874e-05	-0.000934155	-0.000888938
28.6572	0.10139	0.00110722	0.000359705	4.04525e-05	-0.000311644
28.7575	0.0991675	0.000887849	0.000230678	-0.00043139	-0.000813139
28.8572	0.100279	0.000879088	9.25451e-05	-0.00033626	-0.000875823
28.9568	0.0988897	0.000707504	-7.87954e-06	-3.03567e-05	-0.00036191
29.0565	0.100556	0.000460145	-3.65078e-05	-0.000204371	-0.000854896
29.1569	0.100279	0.00127009	0.000280954	0.000171096	-0.00107012
29.2568	0.0994452	0.000272157	-0.000300956	-2.08395e-05	-0.000418687
29.3558	0.0986119	0.00062937	0.000520693	0.000219945	-0.000733995
29.4546	0.0988897	0.000565063	-1.87403e-05	-0.000439216	-0.000776772
29.5471	0.0861118	0.000607758	0.000451442	-0.000152558	-0.000544022
29.6314	0.0825007	0.000646763	0.000255822	-0.000465734	-0.0013004
29.7136	0.0819451	0.000396816	-0.00032851	-1.15675e-05	-0.000565056
29.7952	0.0813895	0.000270164	0.000152425	-5.04157e-05	-0.000714663
29.8765	0.0811118	-5.38601e-05	0.000100473	0.000370947	-0.00066804
29.9576	0.0811118	5.2935e-05	-0.000258062	0.000249576	-0.000371566
30.0393	0.0822229	0.000378973	0.000152364	-3.30401e-05	-0.000420986
30.1212	0.0816673	0.00013008	0.00011214	-0.00046328	-0.00082947
30.2064	0.0886118	3.99014e-05	-2.20962e-05	-0.000250572	-0.000600489
30.2953	0.0891674	0.000351863	-0.000167504	0.000607885	-0.000440446
30.3853	0.0908341	0.00017909	0.000366618	-0.000447586	-0.000929874
30.4758	0.0902785	-0.000317665	0.000159045	0.000806483	-0.000944929
30.565	0.0880563	-1.3349e-05	-0.000290192	0.000462905	-0.00015541
30.6539	0.0897229	0.000313858	0.000311054	-0.000768693	-0.000470175
30.7416	0.085834	-0.000287716	-5.95048e-06	0.000453412	-0.000963331
30.8266	0.0841673	0.000402173	0.000359939	-0.000395641	-0.00123892
30.91	0.0825007	0.000211136	0.000217624	0.000173635	-0.000519779
30.9926	0.0827784	-0.000161821	-3.89566e-05	8.59094e-05	-0.00054829
31.0753	0.0825007	0.000103736	2.09302e-05	0.000501954	-0.00072583
31.1623	0.0916674	-0.00015089	0.000543033	-0.000312	-0.00116456
31.254	0.0916674	9.90578e-05	-0.000272979	0.000478214	-0.000292699
